Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
How You Remind Me,2002,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,223840,82,0.446,0.033,0.543
Foolish,2002,6zMUIb4uce1CzpbjR3vMdN,Ashanti,227386,75,0.665,0.0532,0.707
Hot in Herre,2002,04KTF78FFg8sOHC1BADqbY,Nelly,228240,78,0.956,0.12,0.912
Dilemma,2002,0ARK753YaiJbpLUk7z5yIM,Nelly,289160,79,0.727,0.14,0.607
Wherever you Will Go,2002,5QpaGzWp0hwB5faV8dkbAz,The Calling,208600,77,0.558,0.0267,0.371
A Thousand Miles,2002,4w1lzcaoZ1IC2K5TwjalRP,Vanessa Carlton,237493,78,0.56,0.0379,0.268
In the End,2002,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,216880,87,0.556,0.0584,0.4
What’s Luv?,2002,2mKouqwAIdQnMP43zxR89r,Fat Joe,267093,75,0.835,0.0598,0.919
U Got it Bad,2002,7J41dYQolQJEtj3UmKLu5r,USHER,247840,73,0.816,0.03,0.649
Blurry,2002,6lSr3iZTC144PKhvbPFzMp,Puddle Of Mudd,304000,67,0.431,0.0542,0.523
Complicated,2002,5xEM5hIgJ1jjgcEBfpkt2F,Avril Lavigne,244506,80,0.585,0.0459,0.427
Always on Time,2002,2lXJr5BkUPZpQUV2ZGN1Wv,Ja Rule,245866,66,0.832,0.209,0.853
Ain’t it Funny,2002,6LUr2QQla9sLekmdfJvDOS,Token,160565,35,0.508,0.262,0.142
The Middle,2002,6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,165853,83,0.643,0.0526,0.903
I Need a Girl (Part One),2002,79oBWQeCrspVoCeVZ6Lrbr,Kay One,205040,38,0.825,0.137,0.873
U Don’t have to Call,2002,1LljLapsjkl6sXsLwZzI73,Erykah Badu,120053,44,0.89,0.0492,0.748
Family Affair,2002,3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,265866,79,0.911,0.0449,0.969
I Need a Girl (Part Two),2002,5fpujciVjGBhnR2XFx06E7,Kurdo,218600,58,0.935,0.209,0.813
Gangsta Lovin’,2002,0WgLpgUdThEpA5L5K0SKq7,Eve,239266,64,0.723,0.0608,0.827
My Sacrifice,2002,2VSbEXqs6NbNiZSTcHlIDR,Creed,294600,73,0.32,0.0504,0.257
Without Me,2002,7lQ8MOhq6IN2w8EYcFNSUk,Eminem,290320,88,0.908,0.0738,0.662
Hero,2002,4CbKVDZkYKdv69I4bCaKUq,Skillet,186813,74,0.533,0.0995,0.782
All You Wanted,2002,0kr6d8wHDQPlzuET33NVn6,Michelle Branch,217680,62,0.499,0.0286,0.652
Get the Party Started,2002,02jcEwywffn3Tsb48fXmlW,P!nk,192533,72,0.802,0.046,0.96
Hero,2002,4CbKVDZkYKdv69I4bCaKUq,Skillet,186813,74,0.533,0.0995,0.782
Wasting My Time,2002,5dpAN1mjFPL38kh9kWsCiw,Default,269306,59,0.449,0.0322,0.198
