Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Blinding Lights,2020,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,200040,90,0.514,0.0598,0.334
Circles,2020,21jGcNKet2qwijlDFuPiPb,Post Malone,215280,88,0.695,0.0395,0.553
The Box,2020,0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,196652,83,0.896,0.0559,0.642
Don't Start Now,2020,3PfIrDoz19wz7qK7tYeu62,Dua Lipa,183290,83,0.793,0.083,0.679
Rockstar,2020,0e7ipj03S05BNilyu5bRzt,Post Malone,218146,85,0.585,0.0712,0.129
Adore You,2020,3jjujdWJ72nww5eGnfs2E7,Harry Styles,207133,84,0.676,0.0483,0.569
Life is Good,2020,5yY9lUy8nbvjM1Uyo1Uqoc,Future,237735,77,0.676,0.481,0.508
Memories,2020,4cktbXiXOapiLBMprHFErI,Maroon 5,189486,85,0.775,0.0557,0.595
The Bones,2020,7yFhA2fUsL2oIMWlw5DaHQ,Maren Morris,197293,72,0.612,0.0347,0.334
Someone You Loved,2020,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,182160,89,0.501,0.0319,0.446
Say So,2020,3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,237893,79,0.787,0.159,0.779
I Hope,2020,23T0OX7QOiIUFShSzbJ5Uo,Gabby Barrett,210772,75,0.466,0.0429,0.377
Whats Poppin,2020,1jaTQ3nqY3oAAYyCTbIvnM,Jack Harlow,139741,77,0.923,0.245,0.826
Dance Monkey,2020,2XU0oxnq2qxCpomAAuJY8K,Tones And I,209438,77,0.824,0.0924,0.513
Savage,2020,55CHeLEfn5iJ0IIkgaa4si,Megan Thee Stallion,155497,68,0.843,0.334,0.68
Roxanne,2020,3EYOJ48Et32uATr9ZmLnAo,The Police,191946,82,0.618,0.358,0.663
Intentions,2020,4umIPjkehX1r7uhmGvXiSV,Justin Bieber,212866,76,0.806,0.0575,0.874
Everything I Wanted,2020,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,245425,85,0.704,0.0994,0.243
Roses (Imanbek remix),2020,0zLCBJZSiELJf02ucPP9wb,SAINt JHN,176867,67,0.769,0.0474,0.863
Watermelon Sugar,2020,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,174000,88,0.548,0.0465,0.557
Before You Go,2020,2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,215106,85,0.459,0.0573,0.183
Falling,2020,4KGGeE7RJsgLNZmnxGFlOj,Laufey,173640,81,0.449,0.0915,0.55
"10,000 Hours",2020,2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,167693,76,0.654,0.0259,0.43
WAP,2020,4Oun2ylbjFKMPTiaSbbCih,Cardi B,187541,79,0.935,0.375,0.357
Ballin',2020,3QzAOrNlsabgbMwlZt7TAY,Mustard,180434,80,0.809,0.0735,0.244
Hot Girl Bummer,2020,6jRq8gaZhMUyy5RclRPcAf,blackbear,188343,78,0.782,0.0767,0.685
Blueberry Faygo,2020,22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,162546,75,0.774,0.0383,0.349
Heartless,2020,4EWCNWgDS8707fNSZ1oaA5,Kanye West,211000,87,0.79,0.136,0.654
Bop,2020,6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,159714,76,0.769,0.367,0.836
Lose You to Love Me,2020,4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,206458,82,0.488,0.0436,0.0978
Good as Hell,2020,6KgBpzTuTRPebChN0VTyzV,Lizzo,159735,74,0.682,0.0875,0.535
Toosie Slide,2020,127QTOFJsJQp5LbJbu3A1y,Drake,247058,73,0.834,0.201,0.837
Break My Heart,2020,017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,221820,77,0.73,0.0884,0.467
Chasin' You,2020,5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,205453,82,0.631,0.0277,0.489
Savage Love (Laxed – Siren Beat),2020,1xQ6trAsedVPCdbtDAmk0c,Jawsh 685,171374,75,0.767,0.0803,0.761
No Guidance,2020,6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,260640,79,0.696,0.153,0.136
My Oh My,2020,3yOlyBJuViE2YSGn3nVE1K,Camila Cabello,170746,75,0.724,0.0296,0.383
Dynamite,2020,1DqdF42leyFIzqNDv9CjId,Taio Cruz,203866,71,0.754,0.0853,0.818
Go Crazy,2020,1IIKrJVP1C9N7iPtG6eOsK,Chris Brown,176960,76,0.755,0.145,0.581
High Fashion,2020,07KXEDMj78x68D884wgVEm,Roddy Ricch,220486,71,0.831,0.114,0.511
Laugh Now Cry Later,2020,2SAqBLGA283SUiwJ3xOUVI,Drake,261492,79,0.761,0.134,0.522
Woah,2020,598yNsG1JFrGd4n2kMoz7F,Lil Baby,183011,65,0.882,0.245,0.43
Death Bed,2020,7eJMfftS33KTjuF7lTsMCx,Powfu,173333,82,0.726,0.135,0.348
